,Unnamed: 0,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
370,370,Kruisfontein,ZA,1600029081,-34.0,24.73,12.31,58,0,4.54
383,383,Lebu,CL,1600029084,-37.62,-73.65,10.65,68,0,8.14
385,385,Mahon,ES,1600029084,39.89,4.27,24.0,78,0,3.1
388,388,Jalu,LY,1600029085,29.03,21.55,31.43,26,0,6.77
391,391,Torquay,GB,1600029086,50.46,-3.51,16.67,94,0,2.22
392,392,Shemonaīkha,KZ,1600029086,50.63,81.91,11.04,45,0,2.22
394,394,Dubovka,RU,1600029087,49.06,44.83,13.0,47,0,3.0
398,398,Ghanzi,BW,1600029087,-21.57,21.78,18.17,27,0,3.63
401,401,Aksarayskiy,RU,1600029087,46.79,48.01,15.0,44,0,1.0
403,403,Dawlatabad,AF,1600029088,36.41,64.91,17.97,27,0,3.44
411,411,Gazojak,TM,1600029089,41.19,61.4,19.65,26,0,3.47
412,412,Stege,DK,1600029089,54.99,12.28,17.22,86,0,8.8
413,413,Kuruman,ZA,1600029025,-27.45,23.43,17.22,37,0,0.89
415,415,Wollongong,AU,1600029090,-34.43,150.88,11.67,81,0,0.45
418,418,Liverpool,GB,1600028941,53.41,-2.98,18.0,77,0,2.6
419,419,Ulaangom,MN,1600029092,49.98,92.07,5.36,69,0,0.08
423,423,Marck,FR,1600029092,50.95,1.94,16.67,89,0,0.45
424,424,Upington,ZA,1600029093,-28.45,21.26,15.0,37,0,2.6
443,443,Teya,RU,1600029097,60.38,92.63,7.09,88,0,0.58
453,453,Abbeville,FR,1600029099,50.1,1.83,15.56,79,0,1.73
455,455,Tunceli,TR,1600029100,39.11,39.55,22.0,28,0,2.6
470,470,Kemin,KG,1600029103,42.78,75.69,14.46,37,0,1.95
473,473,Porto Belo,BR,1600029103,-27.16,-48.55,27.22,78,0,5.7
477,477,Haifa,IL,1600029104,32.82,34.99,26.34,65,0,4.1
478,478,San Rafael,AR,1600028916,-34.62,-68.33,17.98,26,0,2.45
481,481,Codrington,AU,1600029106,-38.27,141.97,7.27,92,0,3.12
485,485,Faya,SA,1600029106,18.39,42.45,24.0,13,0,2.1
501,501,Dera Gopipur,IN,1600029110,31.9,76.22,24.16,71,0,1.66
502,502,Abu Kamal,SY,1600029111,34.45,40.92,30.3,30,0,4.01
504,504,Yangi Marg`ilon,UZ,1600029111,40.43,71.72,18.0,45,0,4.1
505,505,Dromolaxia,CY,1600029111,34.88,33.59,27.22,78,0,3.1
509,509,Sawākin,SD,1600029112,19.11,37.33,32.44,54,0,3.31
512,512,Bam,IR,1600029112,29.11,58.36,23.36,17,0,5.76
514,514,Shubarshi,KZ,1600029112,48.59,57.19,15.27,38,0,2.57
515,515,Penzance,GB,1600029113,50.12,-5.54,16.0,93,0,7.7
519,519,Luga,RU,1600029068,58.74,29.85,10.19,77,0,3.91
520,520,Estrela,BR,1600029072,-28.06,-50.94,21.8,69,0,1.65
523,523,Pombia,IT,1600029114,45.65,8.63,23.33,78,0,1.0
526,526,Mercedes,AR,1600029114,-34.65,-59.43,21.67,18,0,3.58
529,529,Maniitsoq,GL,1600029116,65.42,-52.9,2.92,73,0,2.59
532,532,Narsaq,GL,1600029117,60.92,-46.05,7.0,33,0,3.1
